Model,k,n_cluster,Mean Loss - Proposed model,Mean Loss - Baseline,p-value
NB,20,30,1.6490887310000002,1.3150924573815583,1.3093709302736496e-12
DT,20,10,10.8437331223,11.205971838676478,0.01591496524066456
NB,20,20,1.4604469534,1.3150924573815583,0.00027579454743265416
DT,20,30,10.813096017300001,11.205971838676478,0.019744065630676943
NB,20,10,1.3283931718000002,1.3150924573815583,0.7104707416551541
DT,20,20,10.868963679799998,11.205971838676478,0.02023182961710974
DT,20,2,10.883381140500001,11.205971838676478,0.06799841305182794
NB,20,40,1.6854289242999996,1.3150924573815583,3.5669224692894558e-12
NB,20,50,1.9423669869,1.3150924573815583,7.79915882460845e-26
DT,20,40,10.859952766899996,11.205971838676478,0.03375007309299649
NB,20,2,1.2479549639999998,1.3150924573815583,0.08559037563800435
DT,20,50,10.811293833699999,11.205971838676478,0.013505505671715552
