0,1
"{'ML model': 'DT', 'Iteration': 0, 'Particle': 0, 'Particle centroid': array([[32, 'male div/sep', 'skilled'],
       [55, 'male single', 'skilled'],
       [49, 'male mar/wid', 'skilled']], dtype=object), 'Accuracy': array([0.71]), 'Precision': array([0.78231293]), 'Recall': array([0.81560284]), 'F1 score': array([0.79861111]), 'AUC': array([0.63661498]), 'Entropy-Loss': array([10.45265948]), 'TP': array([115.]), 'TN': array([27.]), 'FP': array([32.]), 'FN': array([26.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 0, 'Particle': 1, 'Particle centroid': array([[70, 'male single', 'high qualif/self emp/mgmt'],
       [70, 'male div/sep', 'high qualif/self emp/mgmt'],
       [54, 'male div/sep', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.715]), 'Precision': array([0.81818182]), 'Recall': array([0.76595745]), 'F1 score': array([0.79120879]), 'AUC': array([0.67958889]), 'Entropy-Loss': array([10.27244122]), 'TP': array([108.]), 'TN': array([35.]), 'FP': array([24.]), 'FN': array([33.]), 'num_clusters': 3, 'num_valid_clusters': 2, 'num_violated_clusters': 1, 'num_violating_records_before_adjusting': 1, 'num_retained_records': 40, 'num_excess_records': 959, 'num_fixed_clusters': 1, 'num_used_excess': 19, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 1, 'Particle': 0, 'Particle centroid': array([[32.04565867721267, 'male div/sep', 'skilled'],
       [55.01802316205764, 'male single', 'skilled'],
       [49.00600772068588, 'male mar/wid', 'skilled']], dtype=object), 'Accuracy': array([0.71]), 'Precision': array([0.78231293]), 'Recall': array([0.81560284]), 'F1 score': array([0.79861111]), 'AUC': array([0.63661498]), 'Entropy-Loss': array([10.45265948]), 'TP': array([115.]), 'TN': array([27.]), 'FP': array([32.]), 'FN': array([26.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 1, 'Particle': 1, 'Particle centroid': array([[70.0, 'male single', 'high qualif/self emp/mgmt'],
       [70.0, 'male div/sep', 'high qualif/self emp/mgmt'],
       [54.0, 'male div/sep', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.715]), 'Precision': array([0.81818182]), 'Recall': array([0.76595745]), 'F1 score': array([0.79120879]), 'AUC': array([0.67958889]), 'Entropy-Loss': array([10.27244122]), 'TP': array([108.]), 'TN': array([35.]), 'FP': array([24.]), 'FN': array([33.]), 'num_clusters': 3, 'num_valid_clusters': 2, 'num_violated_clusters': 1, 'num_violating_records_before_adjusting': 1, 'num_retained_records': 40, 'num_excess_records': 959, 'num_fixed_clusters': 1, 'num_used_excess': 19, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 2, 'Particle': 0, 'Particle centroid': array([[32.42841743976335, 'male div/sep', 'skilled'],
       [55.169112147275015, 'male single', 'skilled'],
       [49.05637071575834, 'male mar/wid', 'skilled']], dtype=object), 'Accuracy': array([0.71]), 'Precision': array([0.78231293]), 'Recall': array([0.81560284]), 'F1 score': array([0.79861111]), 'AUC': array([0.63661498]), 'Entropy-Loss': array([10.45265948]), 'TP': array([115.]), 'TN': array([27.]), 'FP': array([32.]), 'FN': array([26.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 2, 'Particle': 1, 'Particle centroid': array([[70.0, 'male single', 'high qualif/self emp/mgmt'],
       [70.0, 'male div/sep', 'high qualif/self emp/mgmt'],
       [54.0, 'male div/sep', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.715]), 'Precision': array([0.81818182]), 'Recall': array([0.76595745]), 'F1 score': array([0.79120879]), 'AUC': array([0.67958889]), 'Entropy-Loss': array([10.27244122]), 'TP': array([108.]), 'TN': array([35.]), 'FP': array([24.]), 'FN': array([33.]), 'num_clusters': 3, 'num_valid_clusters': 2, 'num_violated_clusters': 1, 'num_violating_records_before_adjusting': 1, 'num_retained_records': 40, 'num_excess_records': 959, 'num_fixed_clusters': 1, 'num_used_excess': 19, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 3, 'Particle': 0, 'Particle centroid': array([[33.15379310770824, 'male div/sep', 'skilled'],
       [55.45544464777958, 'male single', 'skilled'],
       [49.15181488259319, 'male mar/wid', 'skilled']], dtype=object), 'Accuracy': array([0.71]), 'Precision': array([0.78231293]), 'Recall': array([0.81560284]), 'F1 score': array([0.79861111]), 'AUC': array([0.63661498]), 'Entropy-Loss': array([10.45265948]), 'TP': array([115.]), 'TN': array([27.]), 'FP': array([32.]), 'FN': array([26.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 3, 'Particle': 1, 'Particle centroid': array([[70.0, 'male single', 'high qualif/self emp/mgmt'],
       [70.0, 'male div/sep', 'high qualif/self emp/mgmt'],
       [54.0, 'male div/sep', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.715]), 'Precision': array([0.81818182]), 'Recall': array([0.76595745]), 'F1 score': array([0.79120879]), 'AUC': array([0.67958889]), 'Entropy-Loss': array([10.27244122]), 'TP': array([108.]), 'TN': array([35.]), 'FP': array([24.]), 'FN': array([33.]), 'num_clusters': 3, 'num_valid_clusters': 2, 'num_violated_clusters': 1, 'num_violating_records_before_adjusting': 1, 'num_retained_records': 40, 'num_excess_records': 959, 'num_fixed_clusters': 1, 'num_used_excess': 19, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 4, 'Particle': 0, 'Particle centroid': array([[33.868579277621656, 'male div/sep', 'skilled'],
       [55.737597083271716, 'male single', 'skilled'],
       [49.245865694423905, 'male mar/wid', 'skilled']], dtype=object), 'Accuracy': array([0.71]), 'Precision': array([0.78231293]), 'Recall': array([0.81560284]), 'F1 score': array([0.79861111]), 'AUC': array([0.63661498]), 'Entropy-Loss': array([10.45265948]), 'TP': array([115.]), 'TN': array([27.]), 'FP': array([32.]), 'FN': array([26.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 4, 'Particle': 1, 'Particle centroid': array([[69.81402283471922, 'male single', 'high qualif/self emp/mgmt'],
       [69.92658796107338, 'male div/sep', 'high qualif/self emp/mgmt'],
       [53.97552932035779, 'male div/sep', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': array([0.715]), 'Precision': array([0.81818182]), 'Recall': array([0.76595745]), 'F1 score': array([0.79120879]), 'AUC': array([0.67958889]), 'Entropy-Loss': array([10.27244122]), 'TP': array([108.]), 'TN': array([35.]), 'FP': array([24.]), 'FN': array([33.]), 'num_clusters': 3, 'num_valid_clusters': 2, 'num_violated_clusters': 1, 'num_violating_records_before_adjusting': 3, 'num_retained_records': 40, 'num_excess_records': 957, 'num_fixed_clusters': 1, 'num_used_excess': 17, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
