0,1
"{'ML model': 'DT', 'Iteration': 0, 'Particle': 0, 'Particle centroid': array([[20, 'male single', 'unskilled resident'],
       [38, 'male single', 'unemp/unskilled non res'],
       [63, 'male div/sep', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.655]), 'Precision': array([0.77692308]), 'Recall': array([0.71631206]), 'F1 score': array([0.74538745]), 'AUC': array([0.61239332]), 'Entropy-Loss': array([12.43506042]), 'TP': array([101.]), 'TN': array([30.]), 'FP': array([29.]), 'FN': array([40.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 0, 'Particle': 1, 'Particle centroid': array([[71, 'male single', 'unskilled resident'],
       [60, 'male mar/wid', 'high qualif/self emp/mgmt'],
       [53, 'female div/dep/mar', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': array([0.68]), 'Precision': array([0.78873239]), 'Recall': array([0.76712329]), 'F1 score': array([0.77777778]), 'AUC': array([0.60578387]), 'Entropy-Loss': array([11.53396908]), 'TP': array([112.]), 'TN': array([24.]), 'FP': array([30.]), 'FN': array([34.]), 'num_clusters': 3, 'num_valid_clusters': 2, 'num_violated_clusters': 1, 'num_violating_records_before_adjusting': 18, 'num_retained_records': 40, 'num_excess_records': 942, 'num_fixed_clusters': 1, 'num_used_excess': 2, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 1, 'Particle': 0, 'Particle centroid': array([[20.0, 'male single', 'unskilled resident'],
       [38.0, 'male single', 'unemp/unskilled non res'],
       [63.0, 'male div/sep', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.655]), 'Precision': array([0.77692308]), 'Recall': array([0.71631206]), 'F1 score': array([0.74538745]), 'AUC': array([0.61239332]), 'Entropy-Loss': array([12.43506042]), 'TP': array([101.]), 'TN': array([30.]), 'FP': array([29.]), 'FN': array([40.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 1, 'Particle': 1, 'Particle centroid': array([[70.66648325149028, 'male single', 'unskilled resident'],
       [59.85613003005463, 'male mar/wid', 'high qualif/self emp/mgmt'],
       [53.06539544088426, 'female div/dep/mar',
        'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.68]), 'Precision': array([0.78873239]), 'Recall': array([0.76712329]), 'F1 score': array([0.77777778]), 'AUC': array([0.60578387]), 'Entropy-Loss': array([11.53396908]), 'TP': array([112.]), 'TN': array([24.]), 'FP': array([30.]), 'FN': array([34.]), 'num_clusters': 3, 'num_valid_clusters': 2, 'num_violated_clusters': 1, 'num_violating_records_before_adjusting': 18, 'num_retained_records': 40, 'num_excess_records': 942, 'num_fixed_clusters': 1, 'num_used_excess': 2, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 2, 'Particle': 0, 'Particle centroid': array([[20.0, 'male single', 'unskilled resident'],
       [38.0, 'male single', 'unemp/unskilled non res'],
       [63.0, 'male div/sep', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.655]), 'Precision': array([0.77692308]), 'Recall': array([0.71631206]), 'F1 score': array([0.74538745]), 'AUC': array([0.61239332]), 'Entropy-Loss': array([12.43506042]), 'TP': array([101.]), 'TN': array([30.]), 'FP': array([29.]), 'FN': array([40.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 2, 'Particle': 1, 'Particle centroid': array([[69.95837926833349, 'male single', 'unskilled resident'],
       [59.55067340986935, 'male mar/wid', 'high qualif/self emp/mgmt'],
       [53.2042393591503, 'female div/dep/mar',
        'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.68]), 'Precision': array([0.78873239]), 'Recall': array([0.76712329]), 'F1 score': array([0.77777778]), 'AUC': array([0.60578387]), 'Entropy-Loss': array([11.53396908]), 'TP': array([112.]), 'TN': array([24.]), 'FP': array([30.]), 'FN': array([34.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 3, 'Particle': 0, 'Particle centroid': array([[20.081227485491002, 'male single', 'unskilled resident'],
       [38.03503930746671, 'male single', 'unemp/unskilled non res'],
       [62.98407304206059, 'male div/sep', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': array([0.655]), 'Precision': array([0.77692308]), 'Recall': array([0.71631206]), 'F1 score': array([0.74538745]), 'AUC': array([0.61239332]), 'Entropy-Loss': array([12.43506042]), 'TP': array([101.]), 'TN': array([30.]), 'FP': array([29.]), 'FN': array([40.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 3, 'Particle': 1, 'Particle centroid': array([[69.2593444927568, 'male single', 'unskilled resident'],
       [59.249128996875484, 'male mar/wid', 'high qualif/self emp/mgmt'],
       [53.34130500142024, 'female div/dep/mar',
        'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.68]), 'Precision': array([0.78873239]), 'Recall': array([0.76712329]), 'F1 score': array([0.77777778]), 'AUC': array([0.60578387]), 'Entropy-Loss': array([11.53396908]), 'TP': array([112.]), 'TN': array([24.]), 'FP': array([30.]), 'FN': array([34.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 4, 'Particle': 0, 'Particle centroid': array([[20.402367743698413, 'male single', 'unskilled resident'],
       [38.17357039924246, 'male single', 'unemp/unskilled non res'],
       [62.9211043639807, 'male div/sep', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': array([0.655]), 'Precision': array([0.77692308]), 'Recall': array([0.71631206]), 'F1 score': array([0.74538745]), 'AUC': array([0.61239332]), 'Entropy-Loss': array([12.43506042]), 'TP': array([101.]), 'TN': array([30.]), 'FP': array([29.]), 'FN': array([40.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 4, 'Particle': 1, 'Particle centroid': array([[68.57398493990713, 'male single', 'unskilled resident'],
       [58.95348369956779, 'male mar/wid', 'high qualif/self emp/mgmt'],
       [53.47568922746919, 'male single', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': array([0.68]), 'Precision': array([0.78873239]), 'Recall': array([0.76712329]), 'F1 score': array([0.77777778]), 'AUC': array([0.60578387]), 'Entropy-Loss': array([11.53396908]), 'TP': array([112.]), 'TN': array([24.]), 'FP': array([30.]), 'FN': array([34.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
