k,model,n_clusters_set,global_best,n_cluster
20,DT,10,10.881578958500002,10.0
20,DT,15,10.9879077351,15.0
20,DT,20,10.9644793613,20.0
20,DT,25,10.838326573899998,25.0
20,DT,30,10.876172410199999,29.0
20,DT,35,10.910413880800002,34.0
20,DT,40,10.870765862400003,39.0
20,DT,45,10.8203047475,44.0
20,DT,50,10.6995585087,45.0
