0,1
"{'ML model': 'DT', 'Iteration': 0, 'Particle': 0, 'Particle centroid': array([[46, 'male mar/wid', 'unemp/unskilled non res'],
       [53, 'male single', 'high qualif/self emp/mgmt'],
       [37, 'male div/sep', 'unskilled resident']], dtype=object), 'Accuracy': array([0.685, 0.665]), 'Precision': array([0.75735294, 0.73426573]), 'Recall': array([0.77443609, 0.78358209]), 'F1 score': array([0.76579926, 0.75812274]), 'AUC': array([0.64094939, 0.60391226]), 'Entropy-Loss': array([11.35375082, 12.07462389]), 'TP': array([103., 105.]), 'TN': array([34., 28.]), 'FP': array([33., 38.]), 'FN': array([30., 29.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 0, 'Particle': 1, 'Particle centroid': array([[31, 'male div/sep', 'skilled'],
       [45, 'male div/sep', 'unemp/unskilled non res'],
       [69, 'male single', 'high qualif/self emp/mgmt']], dtype=object), 'Accuracy': array([0.74, 0.71]), 'Precision': array([0.80272109, 0.84507042]), 'Recall': array([0.83687943, 0.76923077]), 'F1 score': array([0.81944444, 0.80536913]), 'AUC': array([0.672677  , 0.63461538]), 'Entropy-Loss': array([ 9.37134988, 10.45265948]), 'TP': array([118., 120.]), 'TN': array([30., 22.]), 'FP': array([29., 22.]), 'FN': array([23., 36.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 1, 'Particle': 0, 'Particle centroid': array([[46.0, 'male mar/wid', 'unemp/unskilled non res'],
       [53.0, 'male single', 'high qualif/self emp/mgmt'],
       [37.0, 'male div/sep', 'unskilled resident']], dtype=object), 'Accuracy': array([0.685, 0.665]), 'Precision': array([0.75735294, 0.73426573]), 'Recall': array([0.77443609, 0.78358209]), 'F1 score': array([0.76579926, 0.75812274]), 'AUC': array([0.64094939, 0.60391226]), 'Entropy-Loss': array([11.35375082, 12.07462389]), 'TP': array([103., 105.]), 'TN': array([34., 28.]), 'FP': array([33., 38.]), 'FN': array([30., 29.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 1, 'Particle': 1, 'Particle centroid': array([[35.546, 'female div/dep/mar', 'unskilled resident'],
       [35.546, 'male div/sep', 'high qualif/self emp/mgmt'],
       [35.546, 'male mar/wid', 'unemp/unskilled non res']], dtype=object), 'Accuracy': array([0.74, 0.71]), 'Precision': array([0.80272109, 0.84507042]), 'Recall': array([0.83687943, 0.76923077]), 'F1 score': array([0.81944444, 0.80536913]), 'AUC': array([0.672677  , 0.63461538]), 'Entropy-Loss': array([ 9.37134988, 10.45265948]), 'TP': array([118., 120.]), 'TN': array([30., 22.]), 'FP': array([29., 22.]), 'FN': array([23., 36.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 2, 'Particle': 0, 'Particle centroid': array([[46.0, 'male mar/wid', 'unemp/unskilled non res'],
       [53.0, 'male single', 'high qualif/self emp/mgmt'],
       [37.0, 'male div/sep', 'unskilled resident']], dtype=object), 'Accuracy': array([0.685, 0.665]), 'Precision': array([0.75735294, 0.73426573]), 'Recall': array([0.77443609, 0.78358209]), 'F1 score': array([0.76579926, 0.75812274]), 'AUC': array([0.64094939, 0.60391226]), 'Entropy-Loss': array([11.35375082, 12.07462389]), 'TP': array([103., 105.]), 'TN': array([34., 28.]), 'FP': array([33., 38.]), 'FN': array([30., 29.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 2, 'Particle': 1, 'Particle centroid': array([[35.546, 'male single', 'unemp/unskilled non res'],
       [35.546, 'female div/dep/mar', 'unskilled resident'],
       [35.546, 'male div/sep', 'high qualif/self emp/mgmt']],
      dtype=object), 'Accuracy': array([0.74, 0.71]), 'Precision': array([0.80272109, 0.84507042]), 'Recall': array([0.83687943, 0.76923077]), 'F1 score': array([0.81944444, 0.80536913]), 'AUC': array([0.672677  , 0.63461538]), 'Entropy-Loss': array([ 9.37134988, 10.45265948]), 'TP': array([118., 120.]), 'TN': array([30., 22.]), 'FP': array([29., 22.]), 'FN': array([23., 36.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 3, 'Particle': 0, 'Particle centroid': array([[23.356441489303062, 'male single', 'unemp/unskilled non res'],
       [35.546, 'male single', 'skilled'],
       [33.850608946379054, 'male div/sep', 'unskilled resident']],
      dtype=object), 'Accuracy': array([0.685, 0.665]), 'Precision': array([0.75735294, 0.73426573]), 'Recall': array([0.77443609, 0.78358209]), 'F1 score': array([0.76579926, 0.75812274]), 'AUC': array([0.64094939, 0.60391226]), 'Entropy-Loss': array([11.35375082, 12.07462389]), 'TP': array([103., 105.]), 'TN': array([34., 28.]), 'FP': array([33., 38.]), 'FN': array([30., 29.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 3, 'Particle': 1, 'Particle centroid': array([[35.546, 'female div/dep/mar', 'high qualif/self emp/mgmt'],
       [35.546, 'female div/dep/mar', 'unemp/unskilled non res'],
       [35.546, 'female div/dep/mar', 'unskilled resident']], dtype=object), 'Accuracy': array([0.74, 0.71]), 'Precision': array([0.80272109, 0.84507042]), 'Recall': array([0.83687943, 0.76923077]), 'F1 score': array([0.81944444, 0.80536913]), 'AUC': array([0.672677  , 0.63461538]), 'Entropy-Loss': array([ 9.37134988, 10.45265948]), 'TP': array([118., 120.]), 'TN': array([30., 22.]), 'FP': array([29., 22.]), 'FN': array([23., 36.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 4, 'Particle': 0, 'Particle centroid': array([[35.546, 'male single', 'unemp/unskilled non res'],
       [35.546, 'male div/sep', 'skilled'],
       [73.82279566299002, 'male div/sep', 'high qualif/self emp/mgmt']],
      dtype=object), 'Accuracy': array([0.685, 0.665]), 'Precision': array([0.75735294, 0.73426573]), 'Recall': array([0.77443609, 0.78358209]), 'F1 score': array([0.76579926, 0.75812274]), 'AUC': array([0.64094939, 0.60391226]), 'Entropy-Loss': array([11.35375082, 12.07462389]), 'TP': array([103., 105.]), 'TN': array([34., 28.]), 'FP': array([33., 38.]), 'FN': array([30., 29.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 4, 'Particle': 1, 'Particle centroid': array([[35.546, 'male single', 'unemp/unskilled non res'],
       [35.546, 'male div/sep', 'unemp/unskilled non res'],
       [35.546, 'male mar/wid', 'skilled']], dtype=object), 'Accuracy': array([0.74, 0.71]), 'Precision': array([0.80272109, 0.84507042]), 'Recall': array([0.83687943, 0.76923077]), 'F1 score': array([0.81944444, 0.80536913]), 'AUC': array([0.672677  , 0.63461538]), 'Entropy-Loss': array([ 9.37134988, 10.45265948]), 'TP': array([118., 120.]), 'TN': array([30., 22.]), 'FP': array([29., 22.]), 'FN': array([23., 36.]), 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
